;atomization_energy;atomtypes;coordinates;dipole;forces;heavy;name;nuclear_charges;size;smiles;total_energy
10;-396.1975831122451;['C', 'H', 'H', 'H', 'H'];[[0.006196, 0.021808, -0.025435], [-0.649049, 0.813183, 0.005335], [-0.531796, -1.032638, -0.414562], [-0.01011, -0.415846, 1.054265], [1.10896, 0.380265, -0.322458]];[-0.0803, 0.0289, 0.2217];[[41.791527308504186, -117.42336835682904, 39.778638761332076], [-40.633095164789744, 44.64606657758731, -9.506318270154797], [42.258496524078176, 73.80342356737404, -10.098415323195507], [17.90404801289765, 32.40755019634258, -27.291018137395938], [-61.320976680690265, -33.433673170295954, 7.11711296941417]];1;mc_amon00000_001_011;[6, 1, 1, 1, 1];5;C;-25391.571568716583
11;-400.0624994302621;['C', 'H', 'H', 'H', 'H'];[[0.007834, -0.037322, -0.01357], [-0.588499, 0.971984, 0.01495], [-0.505089, -0.879508, -0.52063], [-0.037191, -0.18028, 1.061722], [1.028946, 0.549082, -0.379537]];[-0.1441, 0.1419, 0.1333];[[11.35457690895713, 107.8214290344585, 1.840451192992241], [-1.365757539081835, -45.81789019844837, -18.52074729531594], [18.155266574525765, 19.080282888074247, -7.020451952135342], [21.03946797141777, -15.707254036146306, 6.922191262256604], [-49.18355391581883, -65.37656768793808, 16.778556792202433]];1;mc_amon00000_001_012;[6, 1, 1, 1, 1];5;C;-25395.4364850346
12;-408.4413073217843;['C', 'H', 'H', 'H', 'H'];[[0.023491, 0.014392, 0.007773], [-0.817207, 0.806285, -0.007795], [-0.392443, -0.863379, -0.663918], [-0.047189, -0.266291, 1.068154], [0.966965, 0.141473, -0.486873]];[-0.039, -0.0549, -0.0013];[[-90.65959234746691, -35.380773551292776, -23.86684482347084], [43.26220510849596, -12.61990726309719, -18.400776593606828], [7.449530627616709, 31.32433586781342, 37.694322283058675], [23.489543838428695, -9.669175376050992, -7.081238325110904], [16.458313958746583, 26.345520322627536, 11.6545374591299]];1;mc_amon00000_001_013;[6, 1, 1, 1, 1];5;C;-25403.81529292612
13;-398.07423390442216;['C', 'H', 'H', 'H', 'H'];[[-0.02852, -0.0196, -0.000313], [-0.537281, 1.029259, -0.132941], [-0.411094, -0.956103, -0.552763], [0.223938, -0.290807, 0.962978], [1.072763, 0.463476, -0.28319]];[0.0857, 0.0278, 0.127];[[51.01504030165368, 71.39399290276086, -75.16050801127743], [-5.755754826437353, -59.50855592573856, 13.940883455949939], [16.761859245961258, 46.626036732340204, 6.815849201904631], [-9.403719846865775, -8.773631458942969, 62.191620727336506], [-52.617426060132864, -49.7378410645985, -7.787846559734711]];1;mc_amon00000_001_014;[6, 1, 1, 1, 1];5;C;-25393.44821950876
14;-413.0529770450352;['C', 'H', 'H', 'H', 'H'];[[-0.019772, -0.000559, 0.013061], [-0.544638, 0.859309, -0.130984], [-0.305175, -0.851981, -0.666539], [0.161136, -0.275954, 1.038114], [0.930914, 0.272678, -0.407931]];[0.1455, 0.0919, -0.0741];[[48.50424209600403, -66.42919850570051, -31.369629488737214], [-55.32014465985603, 52.041639975670186, -2.026456711655566], [-9.424335345864627, 16.871457570923575, 23.97306000097019], [-8.488602767464107, -5.010089203805196, 10.371934435538169], [24.72884067718073, 2.526191348732999, -0.9489082361155758]];1;mc_amon00000_001_015;[6, 1, 1, 1, 1];5;C;-25408.426962649373
15;-404.7736688755131;['C', 'H', 'H', 'H', 'H'];[[0.00128, 0.020326, 0.021242], [-0.843778, 0.868678, -0.185742], [-0.319711, -0.820989, -0.689529], [0.166958, -0.368917, 1.041395], [0.987015, 0.065098, -0.436115]];[0.0727, -0.1687, -0.1241];[[-44.74639533938173, -20.3932168425485, -50.64173671937973], [63.33058524683098, -39.57059475840681, 21.350339261095197], [-9.456656084473353, 12.053760717970825, 33.879299978565875], [-17.151844958802698, 9.851760986798718, -7.081309474374058], [8.024311135826805, 38.05828989618577, 2.4934069540927197]];1;mc_amon00000_001_016;[6, 1, 1, 1, 1];5;C;-25400.14765447985
16;-392.915963833343;['C', 'H', 'H', 'H', 'H'];[[-0.020653, 0.025317, 0.029611], [-0.800906, 0.750914, -0.283083], [-0.321089, -0.71482, -0.616905], [0.288392, -0.405368, 0.906638], [1.094043, 0.058989, -0.377238]];[-0.0276, -0.2945, -0.1743];[[66.80607852426901, 25.428381418331245, -83.88549827646521], [27.4575382445235, 15.819570262961102, 35.00097285547182], [-22.125485580915186, -66.2378378191638, -28.499061476486553], [-22.600033378836123, -11.033652228396056, 76.31849428627609], [-49.53809780904119, 36.023538366267516, 1.0650937970248948]];1;mc_amon00000_001_017;[6, 1, 1, 1, 1];5;C;-25388.28994943768
17;-413.04236529506824;['C', 'H', 'H', 'H', 'H'];[[-0.010637, -0.006221, 0.02073], [-0.620156, 0.884541, -0.125199], [-0.328162, -0.844063, -0.746086], [0.123281, -0.233831, 1.082945], [0.95478, 0.26292, -0.469684]];[0.092, 0.1015, -0.0669];[[18.02502429085933, -16.37275104069872, -65.87998904266794], [-10.011642867674023, -2.569839050035831, 3.301257032721414], [-1.0878022701815249, 28.439932881342475, 51.34520964314055], [-3.7303380798448864, -10.201059993505579, -8.758537142764862], [-3.195239887337844, 0.703716017076599, 19.99205950957084]];1;mc_amon00000_001_018;[6, 1, 1, 1, 1];5;C;-25408.416350899406
18;-403.1359790249175;['C', 'H', 'H', 'H', 'H'];[[0.020023, 0.016542, 0.014695], [-0.753433, 0.776761, -0.115046], [-0.373586, -0.812619, -0.706531], [-0.017077, -0.33689, 1.192504], [0.899904, 0.160325, -0.545113]];[-0.0675, -0.0147, -0.1763];[[-72.55036646112804, -71.00507205722464, 23.44599811773638], [11.049041814016253, 11.722507536041903, 1.6078239338262486], [1.0764836082347868, 14.600414594786894, 42.43016665203704], [17.265485747733212, 18.46216892114025, -77.918234477987], [43.15935410532275, 26.219981005255583, 10.434246960208382]];1;mc_amon00000_001_019;[6, 1, 1, 1, 1];5;C;-25398.509964629255
19;-410.1510702122786;['C', 'H', 'H', 'H', 'H'];[[0.01244, -0.015088, -0.010382], [-0.583939, 0.904573, -0.054822], [-0.464637, -0.878732, -0.549146], [-0.020417, -0.286874, 1.143483], [0.914197, 0.445078, -0.406273]];[-0.0806, 0.1599, -0.0313];[[-33.63154401441125, 0.8883151519715818, 52.65051876824681], [-22.464573482538405, -9.984641722307108, -2.798548356444147], [17.201703990778867, 24.828757959069904, 2.017723139603421], [18.61705138045794, 12.098092638020987, -54.760118137181955], [20.277362125712845, -27.830524026755366, 2.890425771596925]];1;mc_amon00000_001_020;[6, 1, 1, 1, 1];5;C;-25405.525055816615
