;atomization_energy;atomtypes;coordinates;dipole;forces;heavy;name;nuclear_charges;size;smiles;total_energy
10;-767.2266995755693;['C', 'O', 'C', 'H', 'H', 'H', 'H', 'H', 'H'];[[-1.091679, 0.155981, 0.091248], [-0.03634, -0.289734, 0.794338], [1.120138, -0.169674, -0.025378], [-1.195135, -0.287679, -1.046335], [-2.07899, -0.418989, 0.615938], [-1.094268, 1.261114, 0.041502], [1.926894, -0.096245, 0.790343], [1.055328, 0.880893, -0.497236], [1.396445, -1.158365, -0.722957]];[0.3989, 0.495, -1.1268];[[-112.84817546658911, -60.91519820307076, -37.528262274499504], [43.77650874302522, -25.680166802422487, -15.643782964307736], [44.46941244374452, -5.909816697586669, 34.505060119646814], [14.412374207197367, 24.680858799930768, 54.85662499772394], [52.49241324730824, 55.04580851680815, -28.376315953514442], [-14.660628216194066, -5.402667121467543, 0.6135390693132001], [-12.38423600128926, -5.228586219308816, -36.08461763704306], [11.4897379783496, -42.57155683941864, -4.959550696365905], [-26.747408121373578, 65.98132456653599, 32.61730533904668]];3;mc_amon00024_001_011;[6, 8, 6, 1, 1, 1, 1, 1, 1];9;COC;-97215.64339284498
11;-796.0842224915542;['C', 'O', 'C', 'H', 'H', 'H', 'H', 'H', 'H'];[[-1.160978, 0.133348, 0.079777], [-0.015438, -0.315789, 0.781834], [1.151468, -0.133728, 0.020508], [-1.239732, -0.463902, -0.866546], [-2.052262, 0.003225, 0.737094], [-1.016586, 1.171188, -0.289117], [2.031725, -0.280219, 0.675104], [1.236699, 0.881816, -0.40567], [1.174327, -0.856212, -0.857054]];[0.0062, 0.6238, -1.2181];[[11.859659598981635, -13.472643040207595, -15.656681139896488], [-2.440831206085121, 12.806942074434142, 0.49883578471958795], [4.741884941420133, -13.325744714036828, -13.059090319767469], [-10.399165630189286, 2.615829933738533, 13.271640442692473], [15.088638466907074, 4.696657726475282, -13.04332957215782], [-7.395463116724984, -1.5938988372059715, 12.721911590038879], [-10.55092938013873, -4.672736158381878, -6.060188293620399], [-4.0076743501557575, -0.06031678783874619, 2.42896588063315], [3.103879490163985, 13.00590861720201, 18.89793444153704]];3;mc_amon00024_001_012;[6, 8, 6, 1, 1, 1, 1, 1, 1];9;COC;-97244.50091576097
12;-785.1106154220055;['C', 'O', 'C', 'H', 'H', 'H', 'H', 'H', 'H'];[[-1.113075, 0.086427, 0.072963], [-0.002983, -0.265208, 0.805547], [1.103848, -0.125465, 0.018205], [-1.234334, -0.656388, -0.798469], [-2.087052, 0.025614, 0.659372], [-0.987823, 1.023136, -0.5467], [1.925907, -0.778785, 0.485175], [1.468217, 0.990385, -0.02006], [0.830321, -0.513357, -1.077917]];[-0.0559, 0.3619, -1.1231];[[-45.95374734479871, -17.653982069332628, -51.19334272675954], [-18.09175162730825, 4.603405944722581, 22.35502140459714], [47.795684371569806, -2.80130894785452, -33.98840855943348], [-1.5363556848091762, 8.86933670445343, 23.693192002712088], [33.86735164564022, 10.333338331919267, -9.531155292100783], [-5.404295253772716, -2.1523873499748687, 29.009105641794992], [-22.51522345715664, 23.353329759941545, -20.272476542976275], [-12.71793790369173, -42.63408518352042, -4.761951405271646], [24.556276440148235, 18.082352809645613, 44.69001429161645]];3;mc_amon00024_001_013;[6, 8, 6, 1, 1, 1, 1, 1, 1];9;COC;-97233.52730869142
13;-762.0195588156587;['C', 'O', 'C', 'H', 'H', 'H', 'H', 'H', 'H'];[[-1.127145, 0.161089, 0.070616], [-0.013156, -0.357342, 0.815596], [1.105286, -0.116092, 0.024929], [-1.255075, -0.413391, -0.925214], [-2.157288, -0.085989, 0.511746], [-0.735801, 1.286687, -0.070036], [2.054446, -0.071907, 0.567177], [1.093072, 0.902501, -0.869047], [1.303583, -1.003291, -0.679972]];[-0.1509, 0.385, -1.1642];[[1.7929282284896244, 5.894424740324367, -20.765604970969864], [-12.186569118395006, 18.180989404798012, -17.62393336386062], [36.26573638714876, 0.7542236931685231, -87.75274295429195], [17.537964895012774, 27.032149844157722, 20.868339763679934], [40.02064586502386, 23.887398659774956, 9.190519894003963], [-53.38945722804776, -48.1941285459792, -3.617239211135396], [-9.498144405639463, 11.26909106927768, 14.329746196254598], [-6.598855807495663, -62.049221406239184, 72.48950775306828], [-13.94424881609712, 23.225072540717107, 12.881406893251048]];3;mc_amon00024_001_014;[6, 8, 6, 1, 1, 1, 1, 1, 1];9;COC;-97210.43625208507
14;-743.3254585845738;['C', 'O', 'C', 'H', 'H', 'H', 'H', 'H', 'H'];[[-1.22113, 0.122398, 0.095866], [0.008183, -0.359549, 0.725361], [1.196642, -0.070993, 0.028319], [-1.617364, -0.973509, -0.463144], [-2.097661, 0.665716, 0.959081], [-0.861083, 0.965691, -0.848599], [1.932463, -0.492411, 0.761324], [1.46672, 0.964445, 0.157246], [1.109221, -0.537039, -0.92245]];[0.2802, 0.6965, -1.0599];[[5.324885561166611, -12.628690639633541, -35.696716597612024], [-56.953453073922965, 29.682178857052243, 7.608417604628913], [-0.4434152520068848, -14.286341588267542, 81.08514747202116], [5.759825750110811, 84.96525119334191, 34.25711798158694], [69.132691446571, -44.026534368674454, -66.41196259670147], [-36.54138523410183, -54.43990139178926, 67.27354815632718], [-0.5288572163073898, -12.797025052971536, -30.3676166284246], [-5.825107570696649, 23.818369644663015, -27.741664526181367], [20.074815589187285, -0.28730783954189437, -30.006273237286827]];3;mc_amon00024_001_015;[6, 8, 6, 1, 1, 1, 1, 1, 1];9;COC;-97191.74215185399
15;-784.5893294966179;['C', 'O', 'C', 'H', 'H', 'H', 'H', 'H', 'H'];[[-1.094039, 0.095417, 0.045585], [-0.009451, -0.242027, 0.840385], [1.06676, -0.164823, -0.002717], [-1.022053, -0.527992, -0.891204], [-2.006365, -0.306369, 0.523145], [-1.206387, 1.246517, -0.142542], [1.96258, -0.625117, 0.504361], [1.56523, 0.838934, -0.245722], [0.937481, -0.579972, -1.036755]];[-0.1218, 0.2472, -1.3229];[[-47.193396372403356, 5.91197607772339, -10.877447578604754], [-0.3963452711463483, 12.13436453237686, -13.667763965301992], [104.99319483378446, 8.71871134271445, -10.501496057920429], [-5.753802964984829, 25.63058288093051, 5.658810397926963], [4.068474952983951, 13.683699028606368, 3.888473246309764], [6.554261820992884, -46.264834453907696, 1.6251025323831811], [-22.850769311295846, -7.055453832143919, -10.571319573137592], [-34.701103613520104, -4.496470973844326, 13.475684671207425], [-4.7205117027686905, -8.262574602455642, 20.96995632713743]];3;mc_amon00024_001_016;[6, 8, 6, 1, 1, 1, 1, 1, 1];9;COC;-97233.00602276603
16;-773.4294217668026;['C', 'O', 'C', 'H', 'H', 'H', 'H', 'H', 'H'];[[-1.209424, 0.154728, 0.048939], [0.013826, -0.269877, 0.809264], [1.148964, -0.185487, 0.004095], [-1.05834, -0.215105, -1.070238], [-1.980076, -0.464052, 0.64391], [-1.345059, 1.342389, 0.087534], [2.07806, -0.312847, 0.648077], [1.154314, 0.82265, -0.469069], [1.396786, -1.143378, -0.766816]];[-0.3071, 0.5536, -1.243];[[32.058121935140974, -17.39380818711554, 9.609790643559563], [-31.03966766593454, 8.972831608458192, -34.03634418966239], [49.93233350453502, -38.5452650987376, -9.95373922567725], [-17.580617692452503, 18.326917729347784, 51.95327970575932], [13.34248139237274, 34.03077557399954, -33.06522078194805], [3.717211040792986, -60.6669181060109, -0.6968382549717189], [-26.933941330405293, 14.32321113643391, -6.464518883734724], [10.606361771061955, -17.729499897244214, -8.19670935791194], [-34.10228295511135, 58.68175524086882, 30.85030034458719]];3;mc_amon00024_001_017;[6, 8, 6, 1, 1, 1, 1, 1, 1];9;COC;-97221.84611503623
17;-777.2222346106988;['C', 'O', 'C', 'H', 'H', 'H', 'H', 'H', 'H'];[[-1.123107, 0.099176, 0.056082], [-0.039084, -0.350858, 0.828094], [1.133654, -0.057012, -2e-06], [-1.410306, -0.740311, -0.688648], [-1.963552, 0.487452, 0.829164], [-0.781263, 1.018265, -0.659908], [2.014035, -0.626335, 0.551938], [1.387587, 1.031315, -0.183552], [1.043488, -0.603797, -1.007381]];[0.2485, 0.6458, -1.3839];[[-26.828269258948023, 35.0891730395406, -13.719900959520139], [37.16716790578277, 37.22995831633716, -41.83676163837535], [34.44166138289245, -65.92123189887617, 23.00329554418209], [-6.7015739987109955, 28.902767138906174, 28.643208697815368], [36.745048814058904, -27.384702743832825, -50.32456041916581], [-24.651776538616602, -40.31840434550202, 40.77230699889779], [-35.69107683268603, 35.010453494787086, -24.634280934807048], [-13.79054980618989, -23.056657491547536, 12.05368601124451], [-0.6906328534036434, 20.44864449018752, 26.043006699728593]];3;mc_amon00024_001_018;[6, 8, 6, 1, 1, 1, 1, 1, 1];9;COC;-97225.63892788012
18;-771.530546722553;['C', 'O', 'C', 'H', 'H', 'H', 'H', 'H', 'H'];[[-1.145979, 0.17445, 0.06762], [-0.053048, -0.363699, 0.819971], [1.160904, -0.134509, -0.0261], [-1.079846, -0.311898, -0.83251], [-1.945461, -0.095102, 0.695364], [-0.976541, 1.252313, -0.155973], [2.044477, 0.166476, 0.732814], [1.111294, 0.864654, -0.579461], [1.288245, -1.135123, -0.722224]];[0.0848, 0.7647, -1.4739];[[56.06623599224606, 19.516564240628902, 45.464210768773334], [54.62123833296863, 33.28777567709355, -40.52810019715349], [10.738082773580937, -9.938665068457036, 41.2176586966835], [-21.058394861237772, -31.99650548742862, -63.48180470491729], [-42.08227402909852, 4.397840307797186, 5.1567088620286095], [-14.290457573140998, -5.873249533788705, 13.008573157107122], [-38.221594056618784, -39.804329574435904, -38.46990142756285], [-10.652343168196237, -35.41036334401745, -0.008543840683734713], [4.879506589496678, 65.82093159678703, 37.64119749990374]];3;mc_amon00024_001_019;[6, 8, 6, 1, 1, 1, 1, 1, 1];9;COC;-97219.94723999198
19;-777.2906626363223;['C', 'O', 'C', 'H', 'H', 'H', 'H', 'H', 'H'];[[-1.10216, 0.096564, 0.056371], [-0.010136, -0.21411, 0.818871], [1.112556, -0.185914, 0.002435], [-0.952293, -0.314374, -1.083714], [-2.058968, -0.455277, 0.476873], [-1.300081, 1.292286, 0.132257], [1.998404, -0.619904, 0.499881], [1.121612, 0.823005, -0.312451], [0.961431, -0.904258, -0.882039]];[0.24, 0.1302, -1.2155];[[-66.03672849775394, 14.455922299531784, -27.549951650792043], [1.5412045070931166, -32.783022645321665, 19.610903420286807], [0.1638567530435063, -55.18039683463223, -14.742604025557922], [-14.146745548138474, 31.029894128819297, 57.10672755989337], [42.33803309953691, 27.27323556489166, -15.74433584628108], [5.827738907612291, -59.86655885897125, -17.968908867009826], [-6.168210662403857, 20.879289635279328, 6.214920153664413], [33.008316787098586, 29.73004808130221, -22.878180750746953], [3.472537025553981, 24.461589814921926, 15.95142882072218]];3;mc_amon00024_001_020;[6, 8, 6, 1, 1, 1, 1, 1, 1];9;COC;-97225.70735590575
