;atomization_energy;atomtypes;coordinates;dipole;forces;heavy;name;nuclear_charges;size;smiles;total_energy
10;-672.2317351679943;['C', 'C', 'O', 'H', 'H', 'H', 'H'];[[-0.635861, -0.095027, -0.02687], [0.827185, 0.174382, -0.021546], [1.387066, 1.155587, 0.401438], [-1.223404, 0.815023, 0.266112], [-1.035516, -0.66736, -0.917059], [-0.811444, -0.823802, 0.836319], [1.330216, -0.693591, -0.444495]];[-1.6913, -2.1306, -0.6865];[[-41.17381652072805, -9.847499145935798, 33.09957876112508], [-9.250273416842742, -0.7028800132345403, -7.658301538847189], [-2.1628024162795523, -3.4181362989464836, -1.2081476913432438], [7.6802854753407015, -16.182312922940902, -15.41050350356283], [13.337122667036194, 22.50073390971534, 14.93809967010493], [6.22317821147448, 15.484881757442901, -19.362552173963792], [25.346304814177923, -7.834786100279466, -4.398172337691904]];3;mc_amon00012_001_011;[6, 6, 8, 1, 1, 1, 1];7;CC=O;-96492.37636388965
11;-639.2503994556779;['C', 'C', 'O', 'H', 'H', 'H', 'H'];[[-0.660559, -0.131937, -0.005643], [0.871736, 0.116391, 0.074591], [1.34779, 1.18033, 0.29681], [-0.933651, 0.846984, 0.705034], [-1.081911, 0.423644, -1.155962], [-0.943581, -1.230475, 0.309465], [1.605108, -0.719602, 0.154325]];[-1.3261, -1.9096, -0.3535];[[-4.73424825384161, 85.4565048382514, -24.32216097556127], [-11.200411871376241, -51.62964542409313, 12.881571722377354], [8.850483335538689, 54.0584358032105, -2.2865369140095035], [-4.7796296255232935, -73.55745344972459, -30.45630774240913], [26.873980288882315, -59.334804681832445, 78.30795456691267], [0.4120004806823186, 58.32701212970962, -20.368141470570947], [-15.422175540183233, -13.320048029700303, -13.756379186739162]];3;mc_amon00012_001_012;[6, 6, 8, 1, 1, 1, 1];7;CC=O;-96459.39502817733
12;-656.941004733487;['C', 'C', 'O', 'H', 'H', 'H', 'H'];[[-0.633985, -0.075235, -0.005948], [0.889989, 0.091959, 0.072904], [1.326431, 1.186682, 0.298789], [-0.925564, 0.717858, 0.782385], [-1.139382, 0.188681, -1.053668], [-1.050709, -1.259026, 0.154483], [1.593327, -0.800945, 0.109642]];[-1.2813, -1.9686, -0.475];[[-42.06214115926806, -39.27712420685474, -17.799915137166607], [-7.483583850783234, -22.85078472696953, 7.495746817319399], [14.073004080163633, 13.90162922164686, -3.74961834433855], [-10.191752484063993, -37.92600207120367, -28.295498691318944], [33.22856288865474, -4.125980159107064, 49.39364464588082], [30.011299932728654, 80.26747049432986, 3.0321574754416636], [-17.575388221610687, 10.010791448158281, -10.07651676581778]];3;mc_amon00012_001_013;[6, 6, 8, 1, 1, 1, 1];7;CC=O;-96477.08563345514
13;-628.398509771324;['C', 'C', 'O', 'H', 'H', 'H', 'H'];[[-0.603032, -0.035657, 0.045245], [0.872846, 0.170623, -0.130522], [1.289813, 1.091675, 0.445762], [-1.106301, 1.131887, -0.081963], [-0.740418, -0.965769, -0.847605], [-0.898357, -0.614595, 1.125545], [1.659928, -0.571467, -0.683844]];[-1.0851, -1.526, -0.681];[[-41.076696590701886, -62.245540010596656, -33.742797745562946], [-0.046228047913215, -74.3471260774385, -10.267499175438724], [68.49057764735414, 90.10759976242396, 39.15311815610375], [22.69728967828334, -92.95993459017036, 5.594515180456859], [-23.56972194307686, 69.4828145989094, 53.31262195294677], [21.94729106552511, 45.900977122138485, -69.6031280029027], [-48.44251299529168, 24.0612091947337, 15.55316844857594]];3;mc_amon00012_001_014;[6, 6, 8, 1, 1, 1, 1];7;CC=O;-96448.54313849297
14;-665.6574050037252;['C', 'C', 'O', 'H', 'H', 'H', 'H'];[[-0.582778, -0.084889, 0.023137], [0.817674, 0.129495, -0.053944], [1.344453, 1.16446, 0.406954], [-1.048725, 0.96192, 0.127418], [-0.886041, -0.544864, -0.918113], [-0.929696, -0.79657, 0.740671], [1.307352, -0.709795, -0.484307]];[-1.6847, -2.3375, -0.8901];[[-71.73026685102636, 47.92180592707857, -27.608767189178238], [48.30045519065748, 76.84684990027824, 58.08018584926022], [-11.51960999648478, -60.86650483318925, -35.12835849622263], [3.2247620882625165, -41.22149245614646, 2.9595709971720217], [-8.12726174796844, 2.8794225380501692, -9.02599433788681], [-0.7740091174305791, -8.028114063942382, 25.39116561041753], [40.625931619811205, -17.53196819794995, -14.667801247741037]];3;mc_amon00012_001_015;[6, 6, 8, 1, 1, 1, 1];7;CC=O;-96485.80203372537
15;-675.7762983613242;['C', 'C', 'O', 'H', 'H', 'H', 'H'];[[-0.644828, -0.091153, -0.011995], [0.857055, 0.147332, -0.010497], [1.364996, 1.163938, 0.384224], [-1.126488, 0.821456, 0.31575], [-1.0334, -0.467513, -0.957226], [-0.897611, -0.882714, 0.730063], [1.434931, -0.704302, -0.379693]];[-1.4961, -2.11, -0.7141];[[5.888757701514156, -10.777275345189281, 19.923556999006234], [-26.17774087354215, -3.1418008616039783, -0.22895477136619674], [6.30274324663847, 2.769499298119449, 0.39114426000979585], [-7.606166916271143, 6.403840420474945, -3.2978537263005507], [1.8167418868672456, 4.031008936828141, -7.079354055458378], [6.656025426260901, 7.273212081131792, -5.877627585114777], [13.119638342711463, -6.55848452976107, -3.83091230659718]];3;mc_amon00012_001_016;[6, 6, 8, 1, 1, 1, 1];7;CC=O;-96495.92092708297
16;-648.3424934131439;['C', 'C', 'O', 'H', 'H', 'H', 'H'];[[-0.591094, -0.044833, 0.038029], [0.838682, 0.062286, 0.076856], [1.319277, 1.183654, 0.293141], [-1.114065, 0.660767, 0.717865], [-0.692602, 0.198115, -1.28813], [-0.995338, -1.168507, 0.234749], [1.544578, -0.816798, -0.155884]];[-1.5784, -2.2179, -0.4989];[[-65.08475254257539, -67.25494499565453, -74.00272214003662], [76.16982197181069, 53.23305691778278, 19.04945984145491], [-1.1597946521038316, -45.5162623838757, -6.0371869226637855], [7.503867319887368, -3.3548869756447433, -21.61951826838547], [-12.789370578077225, -15.516447128041143, 94.57089976396486], [19.824976137443304, 60.756371702932235, -16.338719162311136], [-24.464748842205967, 17.6531128625011, 4.37778688797725]];3;mc_amon00012_001_017;[6, 6, 8, 1, 1, 1, 1];7;CC=O;-96468.48712213479
17;-666.3734177866087;['C', 'C', 'O', 'H', 'H', 'H', 'H'];[[-0.644175, -0.088907, 0.00659], [0.824983, 0.145767, 0.013282], [1.398161, 1.176665, 0.354486], [-1.404681, 0.666324, 0.443247], [-0.746697, -0.281384, -1.093654], [-0.911676, -1.076366, 0.562096], [1.304455, -0.776661, -0.26458]];[-1.6978, -2.2443, -0.6995];[[-46.67727961748472, -21.04541249235428, 13.619214079767854], [-2.3193651840287277, 56.46011119813991, 52.91329315603217], [-12.759511603973625, -38.03926576903947, -19.554533044910997], [39.29552577794845, -15.582613571132194, -24.901537726171114], [-22.275471785106834, 1.5470434899559495, 15.455877760318199], [16.580171301750322, 30.60361754848514, -25.600782012058488], [28.15593111089514, -13.943480404055057, -11.93153221297763]];3;mc_amon00012_001_018;[6, 6, 8, 1, 1, 1, 1];7;CC=O;-96486.51804650825
18;-673.8398129092595;['C', 'C', 'O', 'H', 'H', 'H', 'H'];[[-0.638879, -0.082403, 0.002681], [0.853362, 0.157238, -0.045229], [1.348783, 1.145706, 0.398887], [-1.091935, 0.907404, 0.261348], [-0.967571, -0.574788, -0.953708], [-0.863527, -0.804252, 0.800139], [1.527757, -0.696695, -0.382835]];[-1.4544, -2.0041, -0.6843];[[1.5718698395124617, 0.9342431871584977, -14.581884955019504], [-1.4285609936678108, -41.744745482159416, 6.363721722624548], [16.69770988448062, 31.257346464911887, 5.576793084826266], [-1.5769605692911255, -21.20734228618737, -12.499042452314448], [-1.979722318152906, 17.8696829187943, 16.954003760213716], [2.024159776276747, 1.5931790438270643, 0.4014466733144853], [-15.308495619157986, 11.297636153655038, -2.2150366478240118]];3;mc_amon00012_001_019;[6, 6, 8, 1, 1, 1, 1];7;CC=O;-96493.9844416309
19;-672.6140013894495;['C', 'C', 'O', 'H', 'H', 'H', 'H'];[[-0.64068, -0.097517, -0.014139], [0.814297, 0.164088, -0.009605], [1.397116, 1.165551, 0.391684], [-1.219417, 0.788758, 0.232829], [-1.05347, -0.548981, -0.998319], [-0.761607, -0.916179, 0.756519], [1.346963, -0.709123, -0.39229]];[-1.7794, -2.1662, -0.7482];[[-31.22437826800846, -27.659672115322774, -11.492952739223107], [22.385000146627046, 29.601596387425154, 1.6631092829389593], [-22.496581164389255, -30.768362481497018, -12.200838103120526], [-3.4672518211226957, 0.9776608391771324, 5.880234019788316], [22.325362834251422, 16.344382643658193, 32.05275965234128], [-6.086440000082094, 18.07507661166707, -12.809593570307678], [18.56428827272404, -6.570680699286706, -3.092719728238291]];3;mc_amon00012_001_020;[6, 6, 8, 1, 1, 1, 1];7;CC=O;-96492.7586301111
