;atomization_energy;atomtypes;coordinates;dipole;forces;heavy;name;nuclear_charges;size;smiles;total_energy
10;-649.3993687148478;['C', 'C', 'O', 'H', 'H', 'H', 'H'];[[-0.843743, -0.141202, -0.073966], [0.322354, 0.402726, -0.345442], [1.485755, -0.037308, 0.384332], [-1.050634, -0.876118, 0.788505], [-1.787494, 0.324261, -0.32127], [0.58244, 1.213904, -1.063224], [1.330562, -0.96694, 0.72413]];[-0.9285, -0.6951, 0.0197];[[-48.51363972784562, -12.605321664150633, 45.108318597014204], [64.73480370593172, -17.972934729483285, 35.41399077061725], [-29.38418914146884, -12.351827511922647, -29.60620211639332], [23.193955410476736, 21.003356162903994, -33.2346663096123], [-0.14546941180242504, 0.5650887927474771, -22.01706003297386], [-8.552965576734206, -16.917850447963097, 17.331532422897954], [-1.3324952585573715, 38.27948939786818, -12.995914517370986]];3;mc_amon00016_001_011;[6, 6, 8, 1, 1, 1, 1];7;C=CO;-96469.5439974365
11;-640.7014837391383;['C', 'C', 'O', 'H', 'H', 'H', 'H'];[[-0.960678, -0.092655, -0.040463], [0.32716, 0.352311, -0.293097], [1.565155, -0.003718, 0.371428], [-1.169818, -1.067428, 0.530404], [-1.790274, 0.283479, -0.806117], [0.599029, 1.047614, -1.054043], [1.496922, -1.014785, 0.712866]];[-0.5559, -1.4065, -0.4062];[[21.752560275557006, -6.567985328034224, -49.690819702401114], [-4.48945209903419, -47.635993407883966, 50.41764974343431], [-60.0974322888005, -71.79968362962248, -3.1964482389904085], [5.737572632238367, 43.749411546153034, -12.324871427755724], [42.78659362909087, -19.75795827483651, 45.73825757148439], [-5.001278553384633, 19.10251940445196, -6.848180612902831], [-0.6885635956669167, 82.90968850395113, -24.09558851868968]];3;mc_amon00016_001_012;[6, 6, 8, 1, 1, 1, 1];7;C=CO;-96460.84611246079
12;-641.947477846174;['C', 'C', 'O', 'H', 'H', 'H', 'H'];[[-0.913009, -0.181173, -0.085065], [0.346312, 0.388786, -0.263215], [1.526729, -0.032517, 0.327526], [-1.240256, -0.907329, 0.562461], [-1.677039, 0.702863, -0.455638], [0.490916, 1.086865, -1.010396], [1.282465, -0.557655, 1.097407]];[-0.5333, -0.1814, 1.0382];[[30.315809292459058, 156.0426666355204, -65.63614865962889], [-39.35235269442949, -96.20657270521062, 58.30396925501618], [-22.019717457952655, 12.623021229181226, -17.48761018983663], [-12.347278702365005, -39.17978371411279, 37.44514807692518], [30.81885829937842, -70.35829916709223, 15.088585104959707], [11.861867597781512, 40.67706778106098, -28.01455989665038], [0.7228124793071146, -3.598097687704883, 0.30061749503588997]];3;mc_amon00016_001_013;[6, 6, 8, 1, 1, 1, 1];7;C=CO;-96462.09210656783
13;-660.9907136809934;['C', 'C', 'O', 'H', 'H', 'H', 'H'];[[-0.889346, -0.123675, -0.076957], [0.338791, 0.366145, -0.261117], [1.505149, -0.028674, 0.332983], [-1.073254, -0.872799, 0.687712], [-1.699048, 0.288203, -0.64115], [0.511657, 1.169918, -0.958989], [1.305905, -0.783706, 0.910846]];[-0.6122, -0.6852, 0.4713];[[21.327567939422778, -0.2758136760793766, 11.878824838833198], [1.6728009984015775, -5.6282992222444514, 2.2568190526111587], [-14.480504369951467, -1.2897973999176442, -0.5039027980772005], [-4.948616240440198, -3.5118398785202127, -3.19276982208535], [-11.047346089911082, 2.3076848466609574, -3.5173183717830656], [5.445557083117786, 3.6281748528821556, -4.416819373743499], [2.0305418651816547, 4.769891663039624, -2.5048323399341887]];3;mc_amon00016_001_014;[6, 6, 8, 1, 1, 1, 1];7;C=CO;-96481.13534240265
14;-658.5509493154384;['C', 'C', 'O', 'H', 'H', 'H', 'H'];[[-0.905976, -0.128161, -0.089302], [0.334389, 0.368349, -0.245554], [1.522496, -0.037342, 0.323893], [-1.115805, -0.891598, 0.719593], [-1.679396, 0.322559, -0.683361], [0.470372, 1.212407, -0.95079], [1.316375, -0.677832, 1.015587]];[-0.6686, -0.4539, 0.7158];[[29.481188117747642, -12.862821519894187, 34.613850900472336], [-0.5580865194320777, 2.7373457602791342, -10.785216788778312], [-25.053378554488972, 12.785682674603747, -6.549940689077335], [-0.5070250649086055, 17.691118427235825, -29.12652564242003], [-11.264292051477947, -1.508201921379165, 1.899545399325792], [7.830163769816565, -15.693458194020758, 9.71992140217448], [0.0714279311012853, -3.149666412645646, 0.22836541830307167]];3;mc_amon00016_001_015;[6, 6, 8, 1, 1, 1, 1];7;C=CO;-96478.69557803709
15;-659.3168183535369;['C', 'C', 'O', 'H', 'H', 'H', 'H'];[[-0.871337, -0.111952, -0.052904], [0.334508, 0.373296, -0.286482], [1.483, -0.029096, 0.345823], [-0.970985, -0.936857, 0.602038], [-1.74656, 0.230316, -0.623702], [0.62288, 1.127206, -0.993562], [1.362114, -0.847171, 0.8463]];[-0.5107, -0.9612, 0.162];[[-15.702922231841281, 15.149915769798396, -28.818973465868737], [28.093805945951228, -10.618010091261308, 14.989528729154697], [1.6618689141179759, 1.750552913176195, -6.582344435159741], [-9.15946679810043, -17.256289705470564, 18.974486305406458], [10.446505978249807, -3.688646983278787, 8.3049167147796], [-7.907321588243847, 11.410472955911912, -6.532420183025679], [-7.43247022013345, 3.252005141124157, -0.3351948511076486]];3;mc_amon00016_001_016;[6, 6, 8, 1, 1, 1, 1];7;C=CO;-96479.46144707518
16;-660.7541030761623;['C', 'C', 'O', 'H', 'H', 'H', 'H'];[[-0.862483, -0.122361, -0.066923], [0.344114, 0.362878, -0.265672], [1.48146, -0.024652, 0.329655], [-1.042305, -0.8979, 0.68106], [-1.709672, 0.290575, -0.62243], [0.551695, 1.16913, -0.956758], [1.244471, -0.796902, 0.886586]];[-0.5666, -0.7134, 0.4248];[[-26.5310123807751, -4.5186375267799335, 2.3509032807427612], [11.098549842960862, 16.9936528729273, -12.004980783152487], [4.061631579689595, -22.673797377410967, 17.737074922128002], [-2.7651188751512716, 1.0557269965306797, -4.80902968687955], [5.623118370065792, -5.559823985564054, 6.222405056148207], [-1.7176677237464475, 2.5171779229124485, -3.9846219888938834], [10.23049800113552, 12.185701097384529, -5.511749614271995]];3;mc_amon00016_001_017;[6, 6, 8, 1, 1, 1, 1];7;C=CO;-96480.89873179782
17;-647.9213548622903;['C', 'C', 'O', 'H', 'H', 'H', 'H'];[[-0.827773, -0.151365, -0.053397], [0.35987, 0.434348, -0.278823], [1.441408, -0.040473, 0.338903], [-1.099339, -0.839025, 0.849176], [-1.668363, 0.195845, -0.673152], [0.543283, 1.132115, -1.122623], [1.31279, -0.996247, 0.766323]];[-0.3448, -0.9457, 0.1223];[[-35.21738638338609, 10.106521595910845, 13.389433976949071], [-34.17696715082298, -48.89907900277152, -5.132659225261527], [46.59402667884726, -51.85021762643874, 37.42884778073662], [20.28525969392293, 27.00520798984343, -43.3514535583752], [3.7421844321600166, -6.449410337703986, 10.864043057426553], [2.048786907896428, -7.057895437691152, 20.737279263487235], [-3.2759053644386156, 77.14487163303008, -33.935491294962745]];3;mc_amon00016_001_018;[6, 6, 8, 1, 1, 1, 1];7;C=CO;-96468.06598358393
18;-637.4812776829673;['C', 'C', 'O', 'H', 'H', 'H', 'H'];[[-0.827506, -0.070081, -0.051102], [0.36748, 0.33647, -0.344726], [1.43884, -0.030097, 0.3729], [-0.75152, -0.970225, 0.686161], [-1.941081, 0.064071, -0.478672], [0.471912, 1.366065, -0.916418], [1.343543, -0.958858, 0.776434]];[-0.5096, -1.0542, 0.0657];[[-109.27550415389332, -88.38914346767756, 22.18804831382749], [11.768002746544632, 102.13961370811178, -19.99960370310726], [33.64384097872635, -42.2380292527109, 8.661187163454496], [-18.097320242971094, 32.72936187105097, -24.62337968187081], [74.5574243261847, 4.948548648640203, 16.85444696792452], [11.893800572906049, -57.37193050919439, 19.05189314625478], [-4.490245413318356, 48.181579001779895, -22.132593392304265]];3;mc_amon00016_001_019;[6, 6, 8, 1, 1, 1, 1];7;C=CO;-96457.62590640462
19;-637.6754843350994;['C', 'C', 'O', 'H', 'H', 'H', 'H'];[[-0.854846, -0.117185, -0.068753], [0.384492, 0.389128, -0.226182], [1.446636, -0.048337, 0.287956], [-0.948029, -1.129876, 0.528399], [-1.762163, 0.22654, -0.535591], [0.55711, 1.137495, -1.024931], [1.11407, -0.491871, 1.269905]];[-0.2166, -0.2084, 0.9704];[[11.2830825718769, -51.21145377169537, 32.95650352202779], [-121.6071217176171, 35.49098613156033, -85.88941490155361], [67.42202955360312, -73.12327930118035, 158.2583341401444], [1.2531970331302085, 50.36472299239516, -19.867604032640926], [1.382794230144044, 6.969290888643455, -4.806212176058654], [0.08479450600580406, -1.2039273542171631, 14.831129124595098], [40.18122382285702, 32.713660414493944, -95.48273567651408]];3;mc_amon00016_001_020;[6, 6, 8, 1, 1, 1, 1];7;C=CO;-96457.82011305675
